Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00000021,MP0002,Bihar,GAYA-1,Education,School laboratory development,2430000,2025-02-04,2025-05-06,2025-05-05,V042162,Completed
P00000022,MP0064,Telangana,WARANGAL-1,Water Supply,Water supply improvement,8550000,2025-03-18,2025-11-13,2026-03-14,V045839,Delayed
P00000023,MP0060,Telangana,HYDERABAD-1,Sports,Community sports facility,4580000,2025-03-19,2025-08-25,2025-07-28,V039717,Completed
P00000024,MP0021,Telangana,KARIMNAGAR-3,Public Infrastructure,Infrastructure development,5790000,2025-08-31,2026-04-22,2026-09-04,V045442,Completed
P00000025,MP0033,Telangana,NIZAMABAD-5,Education,School infrastructure improvement,4940000,2025-04-02,2025-12-03,2025-11-15,V041079,Completed
P00000026,MP0076,Karnataka,KALABURAGI-2,Agriculture,Agricultural storage facility,9260000,2025-08-19,2026-04-05,2026-03-29,V018283,Completed
P00000027,MP0058,Uttar Pradesh,KANPUR-1,Sanitation,Waste management facility,9950000,2025-04-08,2025-12-11,2025-11-28,V044884,Completed
P00000028,MP0022,Tamil Nadu,MADURAI-3,Sports,Playground construction,830000,2025-03-08,2025-08-15,2025-07-21,V021834,Completed
P00000029,MP0089,Madhya Pradesh,UJJAIN-5,Road,Internal road development,740000,2025-08-01,2025-11-16,2025-10-30,V010272,Completed
P00000030,MP0049,Rajasthan,AJMER-5,Road,Road repair and improvement,3530000,2025-06-24,2026-02-09,2026-01-25,V004844,Completed
P00000031,MP0091,Madhya Pradesh,BHOPAL-1,Public Infrastructure,Public building construction,1700000,2025-06-20,2026-01-21,2026-01-09,V047857,Completed
P00000032,MP0059,Uttar Pradesh,AGRA-4,Sports,Community sports facility,900000,2025-07-13,2025-11-04,,V046393,Ongoing
P00000033,MP0042,Maharashtra,SOLAPUR-3,Public Infrastructure,Infrastructure development,4650000,2025-01-31,2025-09-06,2025-08-21,V027397,Completed
P00000034,MP0092,Tamil Nadu,MADURAI-3,Agriculture,Irrigation development,9880000,2025-07-19,2026-02-02,2026-01-19,V037717,Completed
P00000035,MP0060,Telangana,HYDERABAD-1,Sanitation,Drainage improvement,9080000,2025-02-20,2025-11-10,,V016018,Ongoing
P00000036,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Agriculture,Agricultural storage facility,890000,2025-03-25,2025-09-04,,V045872,Ongoing
P00000037,MP0015,Karnataka,BELAGAVI-2,Sports,Community sports facility,8530000,2025-02-25,2025-07-23,2025-07-08,V012584,Completed
P00000038,MP0062,Bihar,GAYA-5,Electricity,Electricity infrastructure,3760000,2025-08-15,2026-03-22,,V025440,Ongoing
P00000039,MP0062,Bihar,GAYA-5,Sports,Sports ground development,9660000,2025-06-13,2025-10-10,2026-02-20,V020452,Completed
P00000040,MP0047,West Bengal,SILIGURI-2,Sanitation,Community toilet construction,5100000,2025-06-09,2025-09-24,2025-08-30,V036740,Completed
P00000041,MP0062,Bihar,GAYA-5,Healthcare,Primary health centre development,1520000,2025-03-03,2025-06-25,2025-05-27,V035453,Completed
P00000042,MP0051,Rajasthan,JAIPUR-5,Sanitation,Drainage improvement,5090000,2025-06-11,2025-11-13,2025-11-07,V039850,Completed
P00000043,MP0055,Tamil Nadu,MADURAI-3,Community Development,Community hall construction,4930000,2025-05-06,2025-12-03,2025-11-17,V046038,Completed
P00000044,MP0064,Telangana,WARANGAL-1,Education,School laboratory development,2480000,2025-06-22,2026-01-28,2026-01-09,V034578,Completed
P00000045,MP0003,Tamil Nadu,CHENNAI-5,Sanitation,Waste management facility,5130000,2025-04-28,2025-08-27,2025-08-25,V030107,Completed
P00000046,MP0051,Rajasthan,JAIPUR-5,Sanitation,Community toilet construction,8340000,2025-03-12,2025-10-27,2025-10-22,V028800,Completed
P00000047,MP0007,Bihar,BHAGALPUR-5,Electricity,Street lighting installation,7790000,2025-06-28,2026-01-11,2025-12-15,V023503,Completed
P00000048,MP0021,Telangana,KARIMNAGAR-3,Education,Library construction,9030000,2025-05-01,2025-09-03,,V021949,Ongoing
P00000049,MP0073,Tamil Nadu,CHENNAI-3,Healthcare,Community health facility,5720000,2025-04-09,2025-11-23,2025-10-26,V032829,Completed
P00000050,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Public Infrastructure,Public building construction,7360000,2025-02-27,2025-08-07,2025-07-15,V015242,Completed
P00000051,MP0018,Rajasthan,JODHPUR-3,Electricity,Electricity infrastructure,8740000,2025-04-13,2025-08-04,2025-07-20,V036176,Completed
P00000052,MP0004,Maharashtra,PUNE-1,Sports,Community sports facility,9850000,2025-08-13,2026-01-02,2025-12-10,V031360,Completed
P00000053,MP0089,Madhya Pradesh,UJJAIN-5,Sports,Playground construction,3260000,2025-07-19,2026-03-28,,V004896,Ongoing
P00000054,MP0060,Telangana,HYDERABAD-1,Water Supply,Water supply improvement,9280000,2025-08-08,2026-02-09,2026-01-20,V033432,Completed
P00000055,MP0014,West Bengal,DURGAPUR-5,Education,Library construction,720000,2025-01-11,2025-05-06,2025-04-21,V022843,Completed
P00000056,MP0009,Madhya Pradesh,INDORE-2,Community Development,Community hall construction,5730000,2025-05-14,2025-12-04,2025-11-18,V016352,Completed
P00000057,MP0090,Tamil Nadu,COIMBATORE-1,Sanitation,Drainage improvement,7500000,2025-08-24,2026-05-10,,V046965,Ongoing
P00000058,MP0053,Karnataka,BALLARI-1,Sanitation,Community toilet construction,8170000,2025-07-03,2025-10-17,2025-12-28,V009820,Completed
P00000059,MP0002,Bihar,GAYA-1,Agriculture,Agricultural storage facility,5050000,2025-07-13,2025-10-19,2025-10-06,V019137,Completed
P00000060,MP0084,Karnataka,BELAGAVI-4,Public Infrastructure,Public building construction,7620000,2025-06-20,2026-01-24,,V030613,Ongoing
P00000061,MP0092,Tamil Nadu,MADURAI-3,Sports,Community sports facility,4760000,2025-08-11,2025-11-17,,V019068,Ongoing
P00000062,MP0060,Telangana,HYDERABAD-1,Healthcare,Health centre infrastructure,2880000,2025-08-28,2026-02-19,2026-02-04,V039028,Completed
P00000063,MP0071,Tamil Nadu,SALEM-2,Community Development,Public facility development,7400000,2025-08-18,2026-01-03,2025-12-28,V018387,Completed
P00000064,MP0044,Karnataka,BELAGAVI-4,Community Development,Community hall construction,6570000,2025-02-24,2025-07-09,2025-07-04,V030378,Completed
P00000065,MP0008,Maharashtra,NANDED-4,Sports,Sports ground development,8930000,2025-05-13,2025-11-06,,V001525,Ongoing
P00000066,MP0047,West Bengal,SILIGURI-2,Water Supply,Pipeline installation,7270000,2025-01-16,2025-05-29,,V016232,Ongoing
P00000067,MP0035,Rajasthan,JAIPUR-3,Road,Road repair and improvement,8770000,2025-08-18,2026-04-13,2026-03-28,V018841,Completed
P00000068,MP0078,Karnataka,BENGALURU-2,Road,Rural connectivity road,6130000,2025-01-25,2025-05-17,2025-04-19,V025141,Completed
P00000069,MP0081,Rajasthan,KOTA-2,Sanitation,Waste management facility,3620000,2025-01-30,2025-09-08,,V009609,Ongoing
P00000070,MP0036,Gujarat,RAJKOT-1,Healthcare,Health centre infrastructure,6830000,2025-03-28,2025-09-17,2025-08-30,V041204,Completed
P00000071,MP0050,Karnataka,HUBBALLI-2,Road,Internal road development,1170000,2025-04-19,2025-07-21,2025-07-16,V036636,Completed
P00000072,MP0004,Maharashtra,PUNE-1,Education,Library construction,3530000,2025-08-02,2026-01-19,2026-01-09,V020389,Completed
P00000073,MP0002,Bihar,GAYA-1,Sports,Community sports facility,5300000,2025-03-02,2025-07-03,2025-06-09,V029757,Completed
P00000074,MP0006,Tamil Nadu,MADURAI-5,Public Infrastructure,Public building construction,2890000,2025-04-09,2025-08-05,2025-07-23,V048187,Completed
P00000075,MP0054,Karnataka,BELAGAVI-3,Healthcare,Medical equipment purchase,1640000,2025-08-06,2026-04-15,2026-03-24,V011177,Completed
P00000076,MP0004,Maharashtra,PUNE-1,Sanitation,Sanitation infrastructure,9520000,2025-08-21,2026-04-11,2026-03-31,V026105,Completed
P00000077,MP0054,Karnataka,BELAGAVI-3,Sanitation,Community toilet construction,3700000,2025-08-08,2026-04-15,2026-03-28,V000370,Completed
P00000078,MP0093,West Bengal,HOWRAH-3,Water Supply,Water supply improvement,5180000,2025-08-18,2026-03-06,2026-02-27,V025752,Completed
P00000079,MP0063,Gujarat,RAJKOT-2,Education,School laboratory development,8660000,2025-02-14,2025-10-23,2025-10-17,V011841,Completed
P00000080,MP0018,Rajasthan,JODHPUR-3,Water Supply,Construction of water tank,7010000,2025-04-09,2025-11-21,2025-11-19,V043124,Completed
P00000081,MP0090,Tamil Nadu,COIMBATORE-1,Road,Internal road development,8780000,2025-02-25,2025-05-28,2025-05-21,V023128,Completed
P00000082,MP0044,Karnataka,BELAGAVI-4,Public Infrastructure,Public building construction,8410000,2025-05-23,2026-02-17,2026-02-12,V044554,Completed
P00000083,MP0034,Karnataka,BALLARI-5,Community Development,Public facility development,5570000,2025-06-23,2026-03-20,2026-03-12,V021984,Completed
P00000084,MP0074,Maharashtra,LATUR-4,Sports,Community sports facility,9880000,2025-06-26,2026-03-04,2026-02-23,V013148,Completed
P00000085,MP0062,Bihar,GAYA-5,Water Supply,Construction of water tank,6750000,2025-05-04,2025-08-09,2025-07-28,V014898,Completed
P00000086,MP0100,Maharashtra,NASHIK-5,Agriculture,Irrigation development,9300000,2025-03-14,2025-06-22,,V046689,Ongoing
P00000087,MP0014,West Bengal,DURGAPUR-5,Public Infrastructure,Infrastructure development,5390000,2025-05-11,2025-08-30,2025-08-28,V031484,Completed
P00000088,MP0095,Maharashtra,SOLAPUR-4,Electricity,Solar lighting installation,6120000,2025-08-16,2026-03-03,2026-02-24,V043583,Completed
P00000089,MP0048,Bihar,AURANGABAD-4,Electricity,Electricity infrastructure,9330000,2025-06-15,2025-12-22,2025-11-28,V016358,Completed
P00000090,MP0015,Karnataka,BELAGAVI-2,Sports,Playground construction,9340000,2025-08-31,2026-05-14,2026-04-26,V020673,Completed
P00000091,MP0072,Madhya Pradesh,INDORE-1,Water Supply,Drinking water facility,8580000,2025-05-03,2025-11-19,2025-11-07,V049507,Completed
P00000092,MP0078,Karnataka,BENGALURU-2,Community Development,Community hall construction,4410000,2025-05-29,2025-10-07,2025-09-15,V008250,Completed
P00000093,MP0087,Rajasthan,JAIPUR-2,Sports,Sports ground development,1150000,2025-08-31,2026-01-31,2026-01-20,V031213,Completed
P00000094,MP0062,Bihar,GAYA-5,Healthcare,Primary health centre development,990000,2025-07-15,2026-03-11,2026-03-01,V007672,Completed
P00000095,MP0040,Rajasthan,JODHPUR-5,Healthcare,Health centre infrastructure,9020000,2025-05-08,2025-11-29,2025-11-17,V036142,Completed
P00000096,MP0085,West Bengal,KOLKATA-1,Public Infrastructure,Public facility improvement,1490000,2025-04-23,2025-12-22,2025-12-08,V028792,Completed
P00000097,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Public Infrastructure,Infrastructure development,6870000,2025-04-24,2025-11-29,2025-11-15,V021969,Completed
P00000098,MP0082,Rajasthan,JODHPUR-3,Electricity,Solar lighting installation,7050000,2025-01-19,2025-09-27,,V018640,Ongoing
P00000099,MP0053,Karnataka,BALLARI-1,Sports,Sports ground development,7240000,2025-02-26,2025-08-26,2025-08-20,V041787,Completed
P00000100,MP0024,Madhya Pradesh,BHOPAL-2,Water Supply,Drinking water facility,1680000,2025-02-12,2025-09-17,2025-08-21,V007661,Completed
P00000101,MP0026,Telangana,WARANGAL-3,Community Development,Community hall construction,1610000,2025-06-04,2025-10-21,2026-02-24,V008964,Completed
P00000102,MP0089,Madhya Pradesh,UJJAIN-5,Agriculture,Irrigation development,1200000,2025-05-08,2025-11-20,,V046703,Ongoing
P00000103,MP0060,Telangana,HYDERABAD-1,Agriculture,Irrigation development,2660000,2025-04-26,2025-10-27,2025-10-22,V005756,Completed
P00000104,MP0041,Maharashtra,LATUR-3,Electricity,Solar lighting installation,5540000,2025-04-24,2025-10-20,2025-12-11,V033449,Completed
P00000105,MP0029,Rajasthan,JODHPUR-2,Water Supply,Water supply improvement,1410000,2025-02-22,2025-09-26,2026-01-12,V015473,Delayed
P00000106,MP0015,Karnataka,BELAGAVI-2,Public Infrastructure,Public building construction,4020000,2025-07-17,2025-10-29,2025-10-01,V033340,Completed
P00000107,MP0045,Tamil Nadu,MADURAI-2,Public Infrastructure,Public facility improvement,7390000,2025-08-13,2026-04-10,2026-03-11,V001342,Completed
P00000108,MP0065,Tamil Nadu,CHENNAI-1,Agriculture,Agricultural storage facility,1070000,2025-06-17,2026-02-21,2026-01-22,V028171,Completed
P00000109,MP0089,Madhya Pradesh,UJJAIN-5,Agriculture,Agricultural storage facility,7740000,2025-06-16,2026-02-20,,V018964,Ongoing
P00000110,MP0071,Tamil Nadu,SALEM-2,Education,Library construction,1680000,2025-02-13,2025-07-22,,V031962,Ongoing
P00000111,MP0009,Madhya Pradesh,INDORE-2,Community Development,Public facility development,3990000,2025-02-04,2025-10-09,2025-10-05,V033119,Completed
P00000112,MP0088,Madhya Pradesh,INDORE-4,Education,School classroom construction,9880000,2025-06-18,2025-10-07,,V049031,Ongoing
P00000113,MP0001,Karnataka,BELAGAVI-3,Water Supply,Pipeline installation,9790000,2025-06-21,2025-12-24,2025-12-01,V046912,Completed
P00000114,MP0008,Maharashtra,NANDED-4,Road,Road repair and improvement,8190000,2025-05-26,2025-12-19,2025-12-02,V032442,Completed
P00000115,MP0088,Madhya Pradesh,INDORE-4,Healthcare,Health centre infrastructure,5930000,2025-02-18,2025-07-31,,V002692,Ongoing
P00000116,MP0063,Gujarat,RAJKOT-2,Water Supply,Water supply improvement,9890000,2025-05-05,2025-11-03,2025-10-18,V039155,Completed
P00000117,MP0011,Rajasthan,KOTA-5,Sanitation,Community toilet construction,7690000,2025-05-26,2025-11-02,2025-10-03,V013454,Completed
P00000118,MP0081,Rajasthan,KOTA-2,Community Development,Village development work,3650000,2025-01-17,2025-05-01,2025-04-17,V019705,Completed
P00000119,MP0008,Maharashtra,NANDED-4,Public Infrastructure,Public building construction,5990000,2025-01-10,2025-04-25,2025-04-19,V011094,Completed
P00000120,MP0035,Rajasthan,JAIPUR-3,Sports,Sports ground development,3720000,2025-03-28,2025-10-19,,V024215,Ongoing
P00000121,MP0035,Rajasthan,JAIPUR-3,Community Development,Community hall construction,3730000,2025-06-23,2026-03-03,,V005924,Ongoing
P00000122,MP0033,Telangana,NIZAMABAD-5,Agriculture,Agricultural storage facility,4370000,2025-06-23,2026-03-12,,V025589,Ongoing
P00000123,MP0005,Bihar,MUZAFFARPUR-5,Healthcare,Primary health centre development,1370000,2025-05-17,2025-08-26,2025-07-30,V014930,Completed
P00000124,MP0041,Maharashtra,LATUR-3,Healthcare,Community health facility,2180000,2025-03-19,2025-10-19,2025-10-02,V023615,Completed
P00000125,MP0028,West Bengal,SILIGURI-5,Healthcare,Health centre infrastructure,2550000,2025-01-20,2025-09-03,2025-08-27,V045839,Completed
P00000126,MP0007,Bihar,BHAGALPUR-5,Sports,Sports ground development,9050000,2025-02-06,2025-06-14,2025-05-25,V042911,Completed
P00000127,MP0073,Tamil Nadu,CHENNAI-3,Electricity,Electricity infrastructure,1840000,2025-06-27,2026-03-13,,V034522,Ongoing
P00000128,MP0072,Madhya Pradesh,INDORE-1,Sports,Playground construction,2720000,2025-05-11,2025-12-04,2025-11-30,V014596,Completed
P00000129,MP0012,Maharashtra,SATARA-5,Sports,Community sports facility,9130000,2025-01-22,2025-06-12,2025-05-28,V017580,Completed
P00000130,MP0034,Karnataka,BALLARI-5,Healthcare,Primary health centre development,5110000,2025-04-18,2025-09-14,2025-08-30,V033394,Completed
P00000131,MP0033,Telangana,NIZAMABAD-5,Healthcare,Primary health centre development,5040000,2025-05-07,2025-09-13,2025-08-16,V041043,Completed
P00000132,MP0048,Bihar,AURANGABAD-4,Healthcare,Primary health centre development,9320000,2025-06-01,2025-09-05,,V016538,Ongoing
P00000133,MP0023,Bihar,PATNA-3,Electricity,Electricity infrastructure,2740000,2025-08-25,2025-12-18,2025-12-14,V041394,Completed
P00000134,MP0062,Bihar,GAYA-5,Sports,Playground construction,4000000,2025-04-05,2025-10-20,2026-02-08,V020897,Completed
P00000135,MP0088,Madhya Pradesh,INDORE-4,Sports,Sports ground development,4940000,2025-04-14,2025-08-19,,V024452,Ongoing
P00000136,MP0037,Madhya Pradesh,UJJAIN-2,Electricity,Street lighting installation,8440000,2025-07-14,2025-10-12,2025-09-25,V011961,Completed
P00000137,MP0099,Karnataka,BALLARI-2,Public Infrastructure,Public facility improvement,6950000,2025-04-23,2025-09-08,2025-08-12,V007407,Completed
P00000138,MP0044,Karnataka,BELAGAVI-4,Electricity,Solar lighting installation,1670000,2025-04-12,2025-09-28,,V005950,Ongoing
P00000139,MP0086,Bihar,MUZAFFARPUR-3,Community Development,Public facility development,1200000,2025-07-12,2026-03-18,,V047206,Ongoing
P00000140,MP0091,Madhya Pradesh,BHOPAL-1,Water Supply,Water supply improvement,7480000,2025-04-08,2025-07-26,2025-06-30,V047071,Completed
P00000141,MP0035,Rajasthan,JAIPUR-3,Agriculture,Agricultural storage facility,750000,2025-01-04,2025-05-14,2025-04-20,V004258,Completed
P00000142,MP0065,Tamil Nadu,CHENNAI-1,Public Infrastructure,Public building construction,7030000,2025-07-27,2026-01-19,2026-01-07,V032546,Completed
P00000143,MP0099,Karnataka,BALLARI-2,Community Development,Village development work,8040000,2025-08-29,2026-02-24,2026-02-07,V008834,Completed
P00000144,MP0047,West Bengal,SILIGURI-2,Public Infrastructure,Public building construction,9910000,2025-03-12,2025-10-12,2025-10-02,V037163,Completed
P00000145,MP0078,Karnataka,BENGALURU-2,Sanitation,Community toilet construction,1140000,2025-04-16,2025-07-20,2025-06-23,V018760,Completed
P00000146,MP0003,Tamil Nadu,CHENNAI-5,Healthcare,Primary health centre development,9700000,2025-01-29,2025-08-14,2025-07-22,V042417,Completed
P00000147,MP0001,Karnataka,BELAGAVI-3,Healthcare,Medical equipment purchase,2450000,2025-02-18,2025-09-02,,V008725,Ongoing
P00000148,MP0005,Bihar,MUZAFFARPUR-5,Road,Village road construction,9190000,2025-04-01,2025-09-16,2025-08-23,V031268,Completed
P00000149,MP0090,Tamil Nadu,COIMBATORE-1,Electricity,Electricity infrastructure,3570000,2025-02-09,2025-10-31,2025-10-17,V007035,Completed
P00000150,MP0014,West Bengal,DURGAPUR-5,Sports,Sports ground development,8380000,2025-01-11,2025-10-02,2025-09-14,V024321,Completed
P00000151,MP0027,Bihar,MUZAFFARPUR-5,Electricity,Solar lighting installation,7360000,2025-05-03,2025-12-09,,V014762,Ongoing
P00000152,MP0009,Madhya Pradesh,INDORE-2,Sanitation,Sanitation infrastructure,2660000,2025-05-27,2025-11-27,2025-11-16,V046439,Completed
P00000153,MP0079,West Bengal,KOLKATA-5,Sports,Sports ground development,3760000,2025-08-18,2026-03-19,,V031888,Ongoing
P00000154,MP0015,Karnataka,BELAGAVI-2,Sanitation,Community toilet construction,6900000,2025-01-30,2025-07-19,2025-07-03,V020017,Completed
P00000155,MP0090,Tamil Nadu,COIMBATORE-1,Education,School laboratory development,3140000,2025-07-22,2026-04-05,,V048646,Ongoing
P00000156,MP0042,Maharashtra,SOLAPUR-3,Sanitation,Sanitation infrastructure,2320000,2025-07-19,2025-10-29,,V026748,Ongoing
P00000157,MP0077,West Bengal,KOLKATA-2,Community Development,Community hall construction,4610000,2025-08-29,2025-12-22,2025-12-14,V008929,Completed
P00000158,MP0051,Rajasthan,JAIPUR-5,Road,Village road construction,5230000,2025-05-15,2025-12-12,2025-11-27,V015117,Completed
P00000159,MP0063,Gujarat,RAJKOT-2,Healthcare,Medical equipment purchase,1670000,2025-03-12,2025-09-09,2025-08-28,V022701,Completed
P00000160,MP0096,Maharashtra,PUNE-3,Agriculture,Farmer support infrastructure,8090000,2025-05-04,2025-10-15,2025-09-30,V045795,Completed
P00000161,MP0052,Bihar,MUZAFFARPUR-2,Sports,Community sports facility,1790000,2025-01-13,2025-06-19,,V020124,Ongoing
P00000162,MP0096,Maharashtra,PUNE-3,Water Supply,Water supply improvement,2990000,2025-07-13,2026-01-31,2026-04-01,V017826,Completed
P00000163,MP0004,Maharashtra,PUNE-1,Electricity,Solar lighting installation,640000,2025-07-10,2026-04-02,2026-03-11,V018592,Completed
P00000164,MP0094,Madhya Pradesh,UJJAIN-4,Public Infrastructure,Public building construction,4300000,2025-03-15,2025-10-01,,V041831,Ongoing
P00000165,MP0023,Bihar,PATNA-3,Healthcare,Primary health centre development,4060000,2025-05-28,2025-12-04,2025-11-18,V000089,Completed
P00000166,MP0015,Karnataka,BELAGAVI-2,Electricity,Solar lighting installation,2800000,2025-04-07,2025-12-22,2025-12-04,V021172,Completed
P00000167,MP0043,Bihar,PATNA-2,Sanitation,Community toilet construction,7550000,2025-08-16,2026-02-17,2026-02-11,V044362,Completed
P00000168,MP0029,Rajasthan,JODHPUR-2,Road,Internal road development,2400000,2025-06-07,2025-09-25,2025-09-15,V043458,Completed
P00000169,MP0036,Gujarat,RAJKOT-1,Sports,Playground construction,2940000,2025-07-12,2025-11-07,,V010372,Ongoing
P00000170,MP0013,Uttar Pradesh,LUCKNOW-5,Sanitation,Drainage improvement,1350000,2025-02-03,2025-09-04,2025-08-08,V048665,Completed
P00000171,MP0032,Karnataka,MYSURU-4,Sports,Playground construction,1090000,2025-07-14,2026-02-07,2026-02-05,V009808,Completed
P00000172,MP0071,Tamil Nadu,SALEM-2,Public Infrastructure,Infrastructure development,4550000,2025-03-10,2025-11-15,2025-10-24,V010024,Completed
P00000173,MP0059,Uttar Pradesh,AGRA-4,Healthcare,Community health facility,1070000,2025-02-18,2025-07-14,2025-09-24,V000108,Completed
P00000174,MP0086,Bihar,MUZAFFARPUR-3,Education,School classroom construction,2170000,2025-04-23,2025-12-08,,V042680,Ongoing
P00000175,MP0028,West Bengal,SILIGURI-5,Public Infrastructure,Public facility improvement,8820000,2025-05-10,2025-12-28,2025-12-22,V020119,Completed
P00000176,MP0066,Tamil Nadu,CHENNAI-1,Water Supply,Construction of water tank,2170000,2025-05-12,2026-01-20,,V026196,Ongoing
P00000177,MP0042,Maharashtra,SOLAPUR-3,Water Supply,Drinking water facility,9550000,2025-02-03,2025-06-26,2025-06-12,V005507,Completed
P00000178,MP0045,Tamil Nadu,MADURAI-2,Community Development,Public facility development,1590000,2025-04-05,2025-12-14,2025-12-11,V003456,Completed
P00000179,MP0062,Bihar,GAYA-5,Sanitation,Community toilet construction,7110000,2025-01-02,2025-06-13,2025-05-22,V001006,Completed
P00000180,MP0057,West Bengal,SILIGURI-2,Education,Library construction,2380000,2025-07-20,2026-04-06,,V046974,Ongoing
P00000181,MP0006,Tamil Nadu,MADURAI-5,Education,Library construction,9320000,2025-02-03,2025-06-11,2025-05-21,V016691,Completed
P00000182,MP0028,West Bengal,SILIGURI-5,Sanitation,Community toilet construction,8020000,2025-04-16,2025-09-09,2025-08-31,V012569,Completed
P00000183,MP0028,West Bengal,SILIGURI-5,Sports,Community sports facility,4260000,2025-05-31,2025-12-04,2025-12-02,V029481,Completed
P00000184,MP0044,Karnataka,BELAGAVI-4,Agriculture,Farmer support infrastructure,8450000,2025-01-16,2025-05-19,2025-08-21,V014853,Completed
P00000185,MP0084,Karnataka,BELAGAVI-4,Electricity,Solar lighting installation,1650000,2025-06-18,2025-12-11,2025-12-07,V015552,Completed
P00000186,MP0030,Telangana,HYDERABAD-1,Community Development,Village development work,4540000,2025-05-10,2025-09-14,2025-08-15,V032558,Completed
P00000187,MP0062,Bihar,GAYA-5,Healthcare,Primary health centre development,5290000,2025-01-15,2025-07-12,2025-06-24,V025495,Completed
P00000188,MP0075,Tamil Nadu,MADURAI-1,Education,School infrastructure improvement,8240000,2025-08-12,2026-01-28,2025-12-31,V028838,Completed
P00000189,MP0092,Tamil Nadu,MADURAI-3,Sports,Playground construction,8950000,2025-04-15,2025-11-07,2025-10-29,V002949,Completed
P00000190,MP0089,Madhya Pradesh,UJJAIN-5,Electricity,Street lighting installation,3060000,2025-05-18,2025-12-19,2025-11-20,V035458,Completed
P00000191,MP0062,Bihar,GAYA-5,Public Infrastructure,Public building construction,7210000,2025-02-15,2025-06-25,2025-06-12,V049799,Completed
P00000192,MP0097,Madhya Pradesh,INDORE-4,Healthcare,Primary health centre development,7570000,2025-06-26,2025-12-27,,V001484,Ongoing
P00000193,MP0001,Karnataka,BELAGAVI-3,Water Supply,Construction of water tank,9120000,2025-08-24,2026-02-20,2026-01-23,V035250,Completed
P00000194,MP0027,Bihar,MUZAFFARPUR-5,Electricity,Street lighting installation,4090000,2025-07-07,2025-10-08,2025-10-06,V000956,Completed
